train_size,n_train,accuracy_mean,accuracy_std,f1_mean,f1_std
0.1,196,0.6988461538461539,0.03854776658909348,0.8052713882163035,0.03207582019804227
0.2,393,0.7073677377474846,0.022753811566563985,0.8029506275268987,0.019362018527065084
0.3,590,0.7271186440677966,0.02753911323605411,0.8249430441239227,0.015717488815624892
0.5,983,0.7151559100797679,0.014378734969325194,0.8191948835480429,0.011576499759331019
0.7,1376,0.735467720685112,0.01509980291400702,0.8340950442454554,0.009087138054919688
0.9,1770,0.7395480225988701,0.007869145919313059,0.8348027349677626,0.00500518645697715
1.0,1967,0.7371527105049017,0.00946712549915235,0.834875139216091,0.005478682451142735
